seq,anchorId,range,rssi,sec,nsec
99,1,1938,-88.60851191222687,144,663000000
99,3,5143,-88.1630182749504,144,665000000
100,0,5494,-88.07998378208457,144,760000000
100,1,1977,-88.30119695492316,144,767000000
100,3,5216,-89.02892356629773,144,778000000
101,0,5482,-89.27800483433786,144,860000000
101,1,1984,-89.04123690874115,144,864000000
101,3,5149,-87.52505284433208,144,875000000
102,0,5510,-89.37128038614146,144,958000000
102,1,1973,-88.44073292525611,144,964000000
102,3,5339,-87.40465281606255,144,966000000
103,0,5524,-88.45085613062919,145,60000000
103,1,1949,-87.52248308279088,145,69000000
103,3,5290,-88.31166663079095,145,70000000
104,0,5486,-87.99314554367233,145,160000000
104,1,1978,-87.63373578285261,145,165000000
104,3,5340,-88.92838871317251,145,174000000
105,0,5489,-87.31744156030992,145,260000000
105,1,1984,-88.18476496475894,145,263000000
105,3,5364,-88.1768533828465,145,266000000
106,0,5568,-88.60737799238106,145,360000000
106,1,1929,-88.26727403438282,145,366000000
106,3,5330,-88.40513043679077,145,368000000
107,0,5512,-88.56322622108001,145,460000000
107,1,1936,-88.12035502278673,145,466000000
107,3,5371,-87.65815933884078,145,474000000
108,0,5585,-88.75730265199951,145,560000000
108,1,1929,-88.11465430778526,145,563000000
108,3,5409,-88.32854090036531,145,565000000
109,0,5519,-88.81365799660432,145,660000000
109,1,1956,-88.06530332498374,145,682000000
109,3,5505,-87.8651168549574,145,685000000
110,0,5500,-88.07588159394638,145,760000000
110,1,1922,-87.96086581133515,145,763000000
110,3,5509,-88.03821689748415,145,770000000
111,0,5519,-88.33286723348911,145,860000000
111,1,1967,-87.87096925370254,145,868000000
111,3,5541,-88.13589203471075,145,878000000
112,0,5522,-88.09256514749954,145,962000000
112,1,1950,-88.71947452746439,145,965000000
112,3,5548,-88.72897589278372,145,967000000
113,0,5540,-88.31509341698595,146,60000000
113,1,1957,-87.47898948247794,146,62000000
113,3,5602,-88.29059280480334,146,73000000
114,0,5542,-88.6877325026299,146,160000000
114,1,1957,-88.33163570345744,146,164000000
114,3,5622,-87.9942523310366,146,177000000
115,0,5498,-87.9167214045231,146,260000000
115,1,1985,-87.50961436095092,146,268000000
115,3,5328,-87.52627154848444,146,271000000
116,0,5596,-88.73665822776968,146,360000000
116,1,1918,-88.31554130533256,146,363000000
116,3,5360,-87.64747100399337,146,374000000
117,0,5565,-88.2213277534957,146,460000000
117,1,1970,-88.41816591662302,146,463000000
117,3,5386,-87.66612620051947,146,466000000
118,0,5534,-87.52427193709066,146,560000000
118,1,1903,-87.69673297151816,146,573000000
118,3,5374,-87.89970040657694,146,576000000
119,0,5560,-88.20542626305239,146,660000000
119,1,1948,-87.1300731833053,146,670000000
119,3,5375,-87.99651123333601,146,674000000
120,0,5524,-89.44929313640984,146,759000000
120,1,1943,-87.85203804201934,146,765000000
120,3,5462,-88.64946525233448,146,767000000
121,0,5563,-89.52379271990793,146,860000000
121,1,1949,-88.46877478357979,146,872000000
121,3,5418,-88.01562144013911,146,874000000
122,0,5563,-88.81407701314852,146,960000000
122,1,1947,-87.67566408634782,146,964000000
122,3,5641,-87.99323074283772,146,967000000
123,0,5527,-88.69054190599583,147,60000000
123,1,1974,-88.70138863593002,147,66000000
123,3,5648,-88.87672245382909,147,68000000
124,0,5611,-88.56691870671608,147,160000000
124,1,1974,-87.55875096507827,147,162000000
124,3,5656,-88.94484757403909,147,169000000
125,0,5565,-88.70364788066362,147,260000000
125,1,1984,-88.35854605294685,147,265000000
125,3,5648,-88.84661225594617,147,267000000
126,0,5992,-88.20646332756247,147,359000000
126,1,1946,-88.14692747918299,147,382000000
126,3,5720,-88.48452260404294,147,385000000
127,0,5946,-88.91124111230864,147,460000000
127,1,1948,-88.87549650063059,147,461000000
127,3,5695,-88.95480043798926,147,471000000
128,0,5935,-88.7328771392265,147,560000000
128,1,1974,-89.07323482714717,147,565000000
128,3,5501,-88.25976140453838,147,569000000
129,0,5989,-88.51817286279442,147,660000000
129,1,2021,-87.79283672966572,147,671000000
129,3,5586,-88.71356467966478,147,673000000
