seq,sec,nsec,X,Y,Z
1104,142,759000000,4.409886793463,5.43811670180449,1.771298417543557
1105,142,859000000,4.4231186053935705,5.441662149625944,1.7708003641982712
1106,142,959000000,4.43732132763862,5.445467751678581,1.7703004332884618
1107,143,59000000,4.452114547776748,5.449431576919376,1.769799293796375
1108,143,159000000,4.467266902817873,5.453491631918132,1.7692973945920407
1109,143,259000000,4.4826376801175085,5.457610212893877,1.768795024210106
1110,143,359000000,4.498141299654987,5.461764388784755,1.768292363881379
1111,143,459000000,4.513725712517151,5.465940213148154,1.7677895259544356
1112,143,559000000,4.5293592630745305,5.47012920389688,1.7672865795449135
1113,143,659000000,4.545022698688967,5.474326202310087,1.7667835669791438
1114,143,757000000,4.56070431009781,5.478528070905172,1.766280514107188
1115,143,859000000,4.576396975844189,5.482732901496478,1.7657774366906065
1116,143,959000000,4.592096364728965,5.4869395335444935,1.7652743443301522
1117,144,59000000,4.607799842559973,5.49114726122065,1.76477124287036
1118,144,159000000,4.623505807247767,5.495355655247041,1.7642681358678347
1119,144,259000000,4.6392132844175,5.499564454541116,1.7637650254864157
1120,144,359000000,4.654921681464095,5.503773500315072,1.763261913042405
1121,144,459000000,4.670630637971047,5.507982695995746,1.762758799336468
1122,144,559000000,4.686339934736624,5.512191982848302,1.7622556848555984
1123,144,659000000,4.702049438444516,5.516401325150799,1.7617525698959966
1124,144,759000000,4.717759068013075,5.520610701177507,1.761249454637813
1125,144,859000000,4.733468774129244,5.524820097715053,1.7607463391906162
1126,144,959000000,4.749178526801319,5.529029506727198,1.7602432236210446
1127,145,59000000,4.764888307788639,5.533238923326379,1.7597401079696275
1128,145,159000000,4.780598105997416,5.537448344540026,1.7592369922610152
1129,145,259000000,4.796307914680522,5.541657768560259,1.7587338765101994
1130,145,359000000,4.812017729734419,5.545867194287537,1.7582307607262972
1131,145,459000000,4.827727548663377,5.550076621053132,1.757727644914855
1132,145,558000000,4.843437369949516,5.554286048450331,1.7572245290792443
1133,145,659000000,4.859147192669679,5.558495476231776,1.7567214132215172
1134,145,759000000,4.87485701626241,5.562704904247023,1.7562182973429208
1135,145,859000000,4.890566840386234,5.566914332404576,1.7557151814442145
1136,145,959000000,4.906276664833476,5.571123760648789,1.7552120655258587
1137,146,59000000,4.921986489477825,5.575333188945818,1.7547089495881347
1138,146,159000000,4.937696314242457,5.579542617275075,1.7542058336312123
1139,146,259000000,4.953406139080659,5.583752045624045,1.7537027176551971
1140,146,359000000,4.969115963964009,5.587961473985112,1.7531996016601512
1141,146,459000000,4.984825788875228,5.592170902353647,1.752696485646112
1142,146,559000000,5.000535613803807,5.596380330726834,1.7521933696131042
1143,146,659000000,5.016245438743349,5.600589759102959,1.7516902535611414
1144,146,760000000,5.03195526368997,5.604799187480979,1.7511871374902326
1145,146,859000000,5.047665088641303,5.609008615860263,1.750684021400383
1146,146,959000000,5.063374913595912,5.6132180442404245,1.750180905291595
1147,147,59000000,5.079084738552921,5.6174274726212285,1.749677789163871
1148,147,159000000,5.0947945635118,5.621636901002534,1.7491746730172126
1149,147,259000000,5.110504388472223,5.625846329384253,1.7486715568516198
1150,147,359000000,5.126214213433993,5.630055757766334,1.7481684406670936
1151,147,459000000,5.141924038396993,5.634265186148743,1.747665324463634
1152,147,559000000,5.1576338633611485,5.638474614531463,1.7471622082412408
1153,147,659000000,5.173343688326416,5.64268404291448,1.7466590919999148
1154,147,759000000,5.18905351329277,5.646893471297788,1.7461559757396554
1155,147,859000000,5.204763338260189,5.651102899681382,1.745652859460463
1156,147,959000000,5.220473163228669,5.65531232806526,1.7451497431623375
1157,148,59000000,5.236182988198201,5.65952175644942,1.7446466268452787
1158,148,159000000,5.251892813168782,5.6637311848338605,1.744143510509287
1159,148,259000000,5.267602638140409,5.667940613218582,1.743640394154362
